key	name	slot	occupies	theme	src
hatBeret	ベレー帽	hat	hat	modern	acc.py
hatKnit	ニット帽	hat	hat	modern	acc.py
hatStraw	麦わら帽子	hat	hat	modern	acc.py
hatTop	シルクハット	hat	hat	modern	acc.py
hatCasquette	キャスケット	hat	hat	modern	acc.py
hatFlowerCrown	花かんむり	hat	hat	modern	acc.py
scarfWine	えんじのマフラー	neck	neck	modern	acc.py
scarfCheck	チェックのマフラー	neck	neck	modern	acc.py
snoodCream	もこもこのスヌード	neck	neck	modern	acc.py
ribbonTie	リボンタイ	neck	neck	modern	acc.py
propScore	楽譜	hold	hold	work	acc.py
propMetronome	メトロノーム	hold	hold	work	acc.py
propBottle	水筒	hold	hold	modern	acc.py
propBouquet	花束	hold	hold	stage	acc.py
propTeacup	あたたかい飲みもの	hold	hold	modern	acc.py
wearOyoroi	大鎧（源平のころ）	set	top+bottom+outer	busho	armor.py
wearGusoku	当世具足（戦国のころ）	set	top+bottom+outer	busho	armor.py
wearJinbaori	陣羽織	set	top+bottom+outer	busho	armor.py
hatKabuto	兜（鍬形つき）	hat	hat	busho	armor.py
hatJingasa	陣笠	hat	hat	busho	armor.py
propTachi	太刀	hold	hold	busho	armor.py
propYumiya	弓と矢	hold	hold	busho	armor.py
propGunbai	軍配	hold	hold	busho	armor.py
suitNavy	スーツ（紺）	set	top+bottom	work	biz.py
suitLadyGray	スーツ（女性・グレー）	set	top+bottom	work	biz.py
tuxedo	タキシード	set	top+bottom	stage	biz.py
tailcoat	燕尾服	set	top+bottom	stage	biz.py
hatFedora	中折れ帽	hat	hat	work	biz.py
propBriefcase	ブリーフケース	hold	hold	work	biz.py
propMusicBag	楽譜の鞄	hold	hold	work	biz.py
propNewspaper	新聞	hold	hold	work	biz.py
propCoffee	コーヒー	hold	hold	work	biz.py
wearMasamune	伊達政宗の具足（黒漆五枚胴）	set	top+bottom+outer	busho	busho.py
wearYukimura	真田幸村の具足（朱の赤備え）	set	top+bottom+outer	busho	busho.py
wearIeyasu	徳川家康の具足（歯朶）	set	top+bottom+outer	busho	busho.py
wearShingen	武田信玄の具足（朱）	set	top+bottom+outer	busho	busho.py
wearKenshin	上杉謙信の具足（金小札浅葱威）	set	top+bottom+outer	busho	busho.py
wearKanetsugu	直江兼続の具足（紺）	set	top+bottom+outer	busho	busho.py
hatKabutoMasamune	政宗の兜（弦月）	hat	hat	busho	busho.py
hatKabutoYukimura	幸村の兜（鹿角と六文銭）	hat	hat	busho	busho.py
hatKabutoIeyasu	家康の兜（歯朶と獅噛）	hat	hat	busho	busho.py
hatKabutoShingen	信玄の兜（諏訪法性）	hat	hat	busho	busho.py
hatKabutoKenshin	謙信の兜（日輪三日月）	hat	hat	busho	busho.py
hatKabutoKanetsugu	兼続の兜（愛）	hat	hat	busho	busho.py
wearNobunaga	織田信長・南蛮胴具足	set	top+bottom+outer	busho	busho2.py
wearNaomasa	井伊直政・朱の桶側胴	set	top+bottom+outer	busho	busho2.py
hatKabutoNobunaga	信長の兜（南蛮兜）	hat	hat	busho	busho2.py
hatKabutoNaomasa	直政の兜（天衝脇立）	hat	hat	busho	busho2.py
jomonKantoui	縄文・貫頭衣（編布）	set	top+bottom	era	era_defs.py
jomonFur	縄文・毛皮の重ね	set	top+bottom	era	era_defs.py
yayoiKantoui	弥生・貫頭衣（女）	set	top+bottom	era	era_defs.py
yayoiKesa	弥生・袈裟衣（男）	set	top+bottom	era	era_defs.py
kofunKinuHakama	古墳・衣褌（男）	set	top+bottom	era	era_defs.py
kofunKinuMo	古墳・衣裳（女）	set	top+bottom	era	era_defs.py
asukaChofuku	飛鳥・朝服（男）	set	top+bottom	era	era_defs.py
asukaHire	飛鳥・領巾の女	set	top+bottom	era	era_defs.py
naraHoueki	奈良・闕腋袍（男）	set	top+bottom	era	era_defs.py
naraKarniginu	奈良・背子と裙（女）	set	top+bottom	era	era_defs.py
heianJunihitoe	平安・十二単（女）	set	top+bottom+outer	era	era_defs.py
heianNoushi	平安・直衣（男）	set	top+bottom	era	era_defs.py
kamakuraHitatare	鎌倉・直垂（男）	set	top+bottom	era	era_defs.py
kamakuraTsubo	鎌倉・壺装束（女）	set	top+bottom	era	era_defs.py
muromachiSuou	室町・素襖（男）	set	top+bottom	era	era_defs.py
muromachiKosode	室町・小袖（女）	set	top+bottom	era	era_defs.py
momoyamaDoufuku	安土桃山・胴服（男・南蛮）	set	top+bottom+outer	era	era_defs.py
momoyamaUchikake	安土桃山・打掛（女・辻が花）	set	top+bottom+outer	era	era_defs.py
edoShima	江戸・縞の小袖と羽織（男）	set	top+bottom+outer	era	era_defs.py
edoFurisode	江戸・振袖と幅広の帯（女）	set	top+bottom	era	era_defs.py
meijiShosei	明治・書生（男）	set	top+bottom	era	era_defs.py
meijiRokumeikan	明治・鹿鳴館のドレス（女）	set	top+bottom	era	era_defs.py
taishoModanBoy	大正・モダンボーイ（男）	set	top+bottom	era	era_defs.py
taishoJogakusei	大正・女学生（女）	set	top+bottom	era	era_defs.py
showaGakuran	昭和・学生服（男）	set	top+bottom	era	era_defs.py
showaOnepiece	昭和・ワンピース（女）	set	top+bottom	era	era_defs.py
heiseiShibukaji	平成・渋カジ（男）	set	top+bottom	era	era_defs.py
heiseiSeifuku	平成・制服（女）	set	top+bottom	era	era_defs.py
reiwaOversize	令和・オーバーサイズ（男）	set	top+bottom	era	era_defs.py
reiwaEarth	令和・アースカラー（女）	set	top+bottom	era	era_defs.py
gownBlackLong	本番の黒いドレス	set	top+bottom	stage	gown.py
gownWineMermaid	ワインレッドのドレス	set	top+bottom	stage	gown.py
gownGreenVelvet	深緑のベルベット	set	top+bottom	stage	gown.py
gownGoldALine	うすい金のドレス	set	top+bottom	stage	gown.py
operaQueenNight	夜の女王（魔笛）	set	top+bottom	stage	gown.py
operaVioletta	ヴィオレッタ（椿姫）	set	top+bottom	stage	gown.py
